List	Title	Description	Points	Due	Members	Labels	Card #	Card URL
Product Backlog	Allow Game Spectators					Enhancements	40	https://trello.com/c/1oYefX83
Product Backlog	Play in Tournament	As a Player I want to participate in the tournament so that I can compete against other players and win.				Enhancements	30	https://trello.com/c/RTmS4lDZ
Product Backlog	Finished Game Storage	The Player must be able to store a finished game for later review.				Enhancements	42	https://trello.com/c/HFhCO4bb
Product Backlog	Multiple Simultaneous Games	The Player must be able to have multiple games in progress simultaneously.				Enhancements	43	https://trello.com/c/Gdfwcy9v
Product Backlog	Play Against an AI Opponent	The Player must be able to play a game against an AI player.				Enhancements	34	https://trello.com/c/JuKnUEBU
Product Backlog	USER STORY [Template]	"Story
===
_As a ROLE I want to GOAL so that BENEFIT._
Story Points
---
PICK ONE: 1 2 3 5 8 13
Feature Branch
---
TBD"				User Story	59	https://trello.com/c/fHWxKjAK
Product Backlog	SPIKE STORY [Template]	"Story
===
_As a developer I want to learn XYZ so that I can develop the product._
Story Points
---
13"				Spike Story	60	https://trello.com/c/UDkaylI3
Ready for Dev	Force Capture Move [21]	"Story
===
_As a System, I want to make sure that a Player has to make a capture wherever the option is available, so that I can enforce the Checkers American Rules properly._
Story Points
---
21
Feature Branch
---
force-capture-move"			DL	Game Play	70	https://trello.com/c/IMhepLdT
In Dev	Reset Turn [2]	"Story
===
_As a Player I want to undo my entire turn before submitting it so that I can make a different play._
Story Points
---
2
Feature Branch
---
reset-turn"			PR	Game Play	72	https://trello.com/c/xW8VVnwh
In Dev	Player Resignation [2]	"Story
===
_As a Player, I want to resign from any game of checkers so that I can play with someone else._
Story Points
---
2
Feature Branch
---
player-resignation"			PR	Resignation	13	https://trello.com/c/6qwwF4se
Ready for Test	Win Condition [13]	"Story
===
_As a Player, I want to know if my opponent cannot make a move so that I can know if I won the game._
Story Points
---
13
Feature Branch
---
win-condition"			DL	Game Play	25	https://trello.com/c/nt1roro1
